<eObjectEntry  timestamp='1362930636380' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.5' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362930636403' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.7' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362930636410' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.9' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362930699764' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@javaElements.0/@classes.2' key='junit test launch' value='AllTests'/>
<eObjectEntry  timestamp='1362930701269' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362930701277' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.3' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362930701286' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.5' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362930701293' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.7' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362930701300' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.1/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362930701309' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.1/@requirements.3' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362930701316' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.1/@requirements.5' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362930701339' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.1/@requirements.7' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362930701353' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362930701359' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.3' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362930701365' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.5' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362930701373' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.7' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362930701381' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.9' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362930701388' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.11' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362930701400' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362930701418' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.3' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362930701432' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.5' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362930701437' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.7' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362930701445' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.9' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931255745' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@javaElements.0/@classes.2' key='junit test launch' value='AllTests'/>
<eObjectEntry  timestamp='1362931258303' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931258333' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.3' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931258359' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.5' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931258384' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.7' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931258404' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.1/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362931258424' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.1/@requirements.3' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362931258450' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.1/@requirements.5' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362931258521' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.1/@requirements.7' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362931258584' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931258620' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.3' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362931258641' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.5' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931258669' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.7' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362931258691' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.9' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931258716' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.11' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362931258806' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931258840' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.3' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931258868' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.5' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931258894' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.7' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931258918' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.9' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931401875' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@javaElements.0/@classes.2' key='junit test launch' value='AllTests'/>
